N,dim,pattern,selectivity,qualified,qualified_actual,inline_p50_ms,prefilter_p50_ms,inline_p90_ms,prefilter_p90_ms,latency_gain,recall,inline_qps,prefilter_qps,qps_gain,inline_cpu_pct,prefilter_cpu_pct,inline_main_cpu_pct,prefilter_main_cpu_pct,bottleneck,k,data
5000,768,numeric,0.001,5,5,2.0993909565731883,0.07605098653584719,2.153821988031268,0.07983297109603882,27.605045670033814,1.0,,,,,,,,,10,clustered
5000,768,numeric,0.002,10,10,1.935865031555295,0.0797399552538991,2.3564769653603435,0.08711300324648619,24.27722746258546,1.0,,,,,,,,,10,clustered
5000,768,numeric,0.004,20,20,1.3104890240356326,0.08474104106426239,1.544610015116632,0.09209592826664448,15.464632102428839,1.0,,,,,,,,,10,clustered
5000,768,numeric,0.005,25,25,,,,,,,3863.10123586131,12895.10564132096,3.3380190820823494,413.6911184782143,69.66321438414771,11.904780387862282,40.019293369616776,reader-bound,10,clustered
5000,768,numeric,0.007,35,35,0.986287952400744,0.0821469584479928,1.192932017147541,0.08445698767900467,12.006384302410446,1.0,,,,,,,,,10,clustered
5000,768,numeric,0.01,50,50,0.6820759736001492,0.08629995863884687,0.8229499217122793,0.10559603106230497,7.903549252607879,1.0,,,,,,,,,10,clustered
5000,768,numeric,0.02,100,100,0.36062300205230713,0.10093103628605604,0.4458909388631582,0.10455097071826458,3.5729644252362482,1.0,11840.354828504358,13063.268029699686,1.1032834926746704,415.48567474893395,88.16880876725025,37.008819009703146,39.89761737512442,reader-bound,10,clustered
5000,768,numeric,0.035,175,175,0.34258898813277483,0.11450692545622587,0.40781404823064804,0.1177110243588686,2.9918626036618283,1.0,,,,,,,,,10,clustered
5000,768,numeric,0.05,250,250,0.19941595382988453,0.12715195771306753,0.28959300834685564,0.13273907825350761,1.568327829288234,1.0,,,,,,,,,10,clustered
5000,768,numeric,0.07,350,350,0.18511503003537655,0.14471006579697132,0.2332809381186962,0.15234400052577257,1.2792132255339688,1.0,,,,,,,,,10,clustered
5000,768,numeric,0.1,500,500,0.1479840138927102,0.19580102525651455,0.18885999452322721,0.21096202544867992,0.755787737571035,1.0,12039.473539301975,12623.894112681683,1.0485420372802772,148.30699960425184,208.08074820528356,36.46085704556358,38.460422654057155,client-bound,10,clustered
